empno|ename|job| mgr| hiredate|sal|comm| deptno 
1369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
1499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
1521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
1566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
1654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
1698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
1782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
1788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
1839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
1844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
1876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
1900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
1902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
1934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
2369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
2499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
2521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
2566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
2654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
2698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
2782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
2788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
2839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
2844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
2876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
2900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
2902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
2934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
3369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
3499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
3521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
3566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
3654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
3698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
3782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
3788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
3839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
3844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
3876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
3900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
3902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
3934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
4369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
4499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
4521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
4566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
4654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
4698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
4782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
4788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
4839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
4844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
4876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
4900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
4902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
4934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
5369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
5499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
5521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
5566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
5654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
5698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
5782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
5788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
5839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
5844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
5876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
5900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
5902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
5934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
6369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
6499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
6521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
6566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
6654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
6698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
6782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
6788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
6839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
6844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
6876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
6900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
6902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
6934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
7369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
7499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
7521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
7566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
7654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
7698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
7782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
7788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
7839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
7844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
7876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
7900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
7902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
7934|MILLER|CLERK|7782|19811117|1300.00| 0|10 
8369|SMITH| CLERK|7902|19811117| 800.00| 0|20 
8499|ALLEN| SALESMAN| 7698|19811117|1600.00| 300.00|30 
8521|WARD|SALESMAN| 7698|19811117|1250.00| 500.00|30 
8566|JONES| MANAGER|7839|19811117|2975.00| 0|20 
8654|MARTIN|SALESMAN| 7698|19811117|1250.00|1400.00|30 
8698|BLAKE| MANAGER|7839|19811117|2850.00| 0|30 
8782|CLARK| MANAGER|7839|19811117|2450.00| 0|10 
8788|SCOTT| ANALYST|7566|19811117|3000.00| 0|20 
8839|KING|PRESIDENT|0|19811117|5000.00| 0|10 
8844|TURNER|SALESMAN| 7698|19811117|1500.00| 0.00|30 
8876|ADAMS| CLERK|7788|19811117|1100.00| 0|20 
8900|JAMES| CLERK|7698|19811117| 950.00| 0|30 
8902|FORD|ANALYST|7566|19811117|3000.00| 0|20 
